6.034278119900751335e+03 1.371232986031292967e+04 1.777005151149148219e+02 3.794988631798263668e+03 3.067079518969132550e+03 6.438075901345108494e-03 1.542194853520411670e-02 1.224509507194656947e-02 6.195661426348736574e-03 0.000000000000000000e+00 1.461898152000000017e+01
7.022428509837191996e+03 1.398198944386690528e+04 1.887991035346440185e+02 5.230993872858911345e+03 4.938672518811551527e+03 8.329619648825564368e-03 2.312468272544358078e-02 1.365534791893500619e-02 8.694502407320304008e-03 0.000000000000000000e+00 1.467517090000000124e+01
7.572986671027098055e+03 1.391496835398708754e+04 1.862751900695981249e+02 5.059416036405769773e+03 4.947703910547337728e+03 7.895178863873026157e-03 2.648991715228639007e-02 1.672456404919769185e-02 7.862331456655251988e-03 0.000000000000000000e+00 1.456308050999999892e+01
9.068301539853531722e+03 1.437790139511191956e+04 1.738584533824221694e+02 6.670758459736822260e+03 6.121086118654082384e+03 1.438867905299920022e-02 3.575441141038609300e-02 2.136423060858568326e-02 1.405515156924221944e-02 0.000000000000000000e+00 1.347744419999999899e+01
8.133871229892301017e+03 1.411641543787831688e+04 1.664945409313388609e+02 6.526281436008403034e+03 5.701904305994560673e+03 1.353072928001996210e-02 3.122160374532693267e-02 2.047360439691556580e-02 1.163366249152582646e-02 0.000000000000000000e+00 1.393381457999999995e+01
7.662083351724844761e+03 1.386549456314400049e+04 1.523175057747371000e+02 5.129503378243597581e+03 4.862407041370819570e+03 1.085312833307344738e-02 2.449158411034156949e-02 1.612130858160745750e-02 9.396481883144763847e-03 0.000000000000000000e+00 1.269244448000000069e+01
1.144494002357535464e+04 1.444543903965015488e+04 1.678284621060421955e+02 6.535566318214574494e+03 6.503093327100907118e+03 1.751946363716012575e-02 3.268978040537866281e-02 1.890844299016330651e-02 1.547511631028576987e-02 0.000000000000000000e+00 1.154102040000000073e+01
9.900547732621133036e+03 1.435241851858416703e+04 1.521044852433821006e+02 5.803592570295999394e+03 5.460219757177103929e+03 1.277068911360932334e-02 3.611178907068437333e-02 1.511930312237550963e-02 1.172519937289982078e-02 0.000000000000000000e+00 1.204374203999999970e+01
1.016533465875124239e+04 1.430375642353900002e+04 1.549838337890810749e+02 6.290587645415264888e+03 5.653893653172953236e+03 1.518603184362712910e-02 2.732212815747941601e-02 1.898445906198102315e-02 9.963157210924770968e-03 0.000000000000000000e+00 1.202224484999999987e+01
1.616598862127221219e+04 1.628931090267774925e+04 2.282282774998966488e+02 1.073406708880498809e+04 9.908131931962012459e+03 1.142365190022127108e-01 4.336117759040093722e-02 3.095441094402470381e-02 1.567504211604079170e-02 0.000000000000000000e+00 9.665842679999999021e+00
