Tstart,Tstop,Nx,logfolder,resfolder,controller,Kp,wsp,yaw,_seed,seed,Tint,dx,filename
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,-10,1,1004,0.344,0.341796875,dlc11_0_noipc_-10_04_1004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,-10,2,2004,0.344,0.341796875,dlc11_0_noipc_-10_04_2004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,-10,3,3004,0.344,0.341796875,dlc11_0_noipc_-10_04_3004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,0,1,1004,0.344,0.341796875,dlc11_0_noipc_000_04_1004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,0,2,2004,0.344,0.341796875,dlc11_0_noipc_000_04_2004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,0,3,3004,0.344,0.341796875,dlc11_0_noipc_000_04_3004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,10,1,1004,0.344,0.341796875,dlc11_0_noipc_010_04_1004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,10,2,2004,0.344,0.341796875,dlc11_0_noipc_010_04_2004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,4,10,3,3004,0.344,0.341796875,dlc11_0_noipc_010_04_3004
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,-10,1,1006,0.2693333333333333,0.5126953125,dlc11_0_noipc_-10_06_1006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,-10,2,2006,0.2693333333333333,0.5126953125,dlc11_0_noipc_-10_06_2006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,-10,3,3006,0.2693333333333333,0.5126953125,dlc11_0_noipc_-10_06_3006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,0,1,1006,0.2693333333333333,0.5126953125,dlc11_0_noipc_000_06_1006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,0,2,2006,0.2693333333333333,0.5126953125,dlc11_0_noipc_000_06_2006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,0,3,3006,0.2693333333333333,0.5126953125,dlc11_0_noipc_000_06_3006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,10,1,1006,0.2693333333333333,0.5126953125,dlc11_0_noipc_010_06_1006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,10,2,2006,0.2693333333333333,0.5126953125,dlc11_0_noipc_010_06_2006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,6,10,3,3006,0.2693333333333333,0.5126953125,dlc11_0_noipc_010_06_3006
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,8,-10,1,1008,0.23199999999999998,0.68359375,dlc11_0_noipc_-10_08_1008
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,8,-10,2,2008,0.23199999999999998,0.68359375,dlc11_0_noipc_-10_08_2008
100,700,8192,./log/dlc11_0/,./res/dlc11_0/,noipc,0,8,-10,3,3008,0.23199999999999998,0.68359375,dlc11_0_noipc_-10_08_3008
