Tstart,Tstop,Nx,logfolder,resfolder,controller,Kp,yaw,wsp,_seed,seed,Tint,dx,filename
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,4,1,1004,0.70784,0.341796875,dlc13_1_000_ipcpi_04_1000_1004
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,4,2,2004,0.70784,0.341796875,dlc13_1_000_ipcpi_04_1000_2004
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,4,3,3004,0.70784,0.341796875,dlc13_1_000_ipcpi_04_1000_3004
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,6,1,1006,0.5026133333333332,0.5126953125,dlc13_1_000_ipcpi_06_1000_1006
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,6,2,2006,0.5026133333333332,0.5126953125,dlc13_1_000_ipcpi_06_1000_2006
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,6,3,3006,0.5026133333333332,0.5126953125,dlc13_1_000_ipcpi_06_1000_3006
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,8,1,1008,0.4,0.68359375,dlc13_1_000_ipcpi_08_1000_1008
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,8,2,2008,0.4,0.68359375,dlc13_1_000_ipcpi_08_1000_2008
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,8,3,3008,0.4,0.68359375,dlc13_1_000_ipcpi_08_1000_3008
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,10,1,1010,0.338432,0.8544921875,dlc13_1_000_ipcpi_10_1000_1010
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,10,2,2010,0.338432,0.8544921875,dlc13_1_000_ipcpi_10_1000_2010
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,10,3,3010,0.338432,0.8544921875,dlc13_1_000_ipcpi_10_1000_3010
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,12,1,1012,0.29738666666666663,1.025390625,dlc13_1_000_ipcpi_12_1000_1012
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,12,2,2012,0.29738666666666663,1.025390625,dlc13_1_000_ipcpi_12_1000_2012
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,12,3,3012,0.29738666666666663,1.025390625,dlc13_1_000_ipcpi_12_1000_3012
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,14,1,1014,0.26806857142857143,1.1962890625,dlc13_1_000_ipcpi_14_1000_1014
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,14,2,2014,0.26806857142857143,1.1962890625,dlc13_1_000_ipcpi_14_1000_2014
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,14,3,3014,0.26806857142857143,1.1962890625,dlc13_1_000_ipcpi_14_1000_3014
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,16,1,1016,0.24608000000000002,1.3671875,dlc13_1_000_ipcpi_16_1000_1016
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,16,2,2016,0.24608000000000002,1.3671875,dlc13_1_000_ipcpi_16_1000_2016
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,16,3,3016,0.24608000000000002,1.3671875,dlc13_1_000_ipcpi_16_1000_3016
100,700,8192,./log/dlc13_1/,./res/dlc13_1/,ipcpi,-1,0,18,1,1018,0.22897777777777778,1.5380859375,dlc13_1_000_ipcpi_18_1000_1018
