Tstart,Tstop,Nx,logfolder,resfolder,Kp,yaw,controller,wsp,_seed,_amp,Phase,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,2,1,29.96,2006,0.2693333333333333,0.5126953125,1.42,dlc11_4_ipcpi_a1_+29_06_2006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,2,2,-29.96,2006,0.2693333333333333,0.5126953125,2.84,dlc11_4_ipcpi_a2_-29_06_2006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,2,2,29.96,2006,0.2693333333333333,0.5126953125,2.84,dlc11_4_ipcpi_a2_+29_06_2006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,2,3,-29.96,2006,0.2693333333333333,0.5126953125,4.26,dlc11_4_ipcpi_a3_-29_06_2006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,2,3,29.96,2006,0.2693333333333333,0.5126953125,4.26,dlc11_4_ipcpi_a3_+29_06_2006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,2,4,-29.96,2006,0.2693333333333333,0.5126953125,5.68,dlc11_4_ipcpi_a4_-29_06_2006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,2,4,29.96,2006,0.2693333333333333,0.5126953125,5.68,dlc11_4_ipcpi_a4_+29_06_2006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,3,1,-29.96,3006,0.2693333333333333,0.5126953125,1.42,dlc11_4_ipcpi_a1_-29_06_3006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,3,1,29.96,3006,0.2693333333333333,0.5126953125,1.42,dlc11_4_ipcpi_a1_+29_06_3006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,3,2,-29.96,3006,0.2693333333333333,0.5126953125,2.84,dlc11_4_ipcpi_a2_-29_06_3006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,3,2,29.96,3006,0.2693333333333333,0.5126953125,2.84,dlc11_4_ipcpi_a2_+29_06_3006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,3,3,-29.96,3006,0.2693333333333333,0.5126953125,4.26,dlc11_4_ipcpi_a3_-29_06_3006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,3,3,29.96,3006,0.2693333333333333,0.5126953125,4.26,dlc11_4_ipcpi_a3_+29_06_3006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,3,4,-29.96,3006,0.2693333333333333,0.5126953125,5.68,dlc11_4_ipcpi_a4_-29_06_3006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,6,3,4,29.96,3006,0.2693333333333333,0.5126953125,5.68,dlc11_4_ipcpi_a4_+29_06_3006
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,1,1,-29.96,1008,0.23199999999999998,0.68359375,1.42,dlc11_4_ipcpi_a1_-29_08_1008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,1,1,29.96,1008,0.23199999999999998,0.68359375,1.42,dlc11_4_ipcpi_a1_+29_08_1008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,1,2,-29.96,1008,0.23199999999999998,0.68359375,2.84,dlc11_4_ipcpi_a2_-29_08_1008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,1,2,29.96,1008,0.23199999999999998,0.68359375,2.84,dlc11_4_ipcpi_a2_+29_08_1008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,1,3,-29.96,1008,0.23199999999999998,0.68359375,4.26,dlc11_4_ipcpi_a3_-29_08_1008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,1,3,29.96,1008,0.23199999999999998,0.68359375,4.26,dlc11_4_ipcpi_a3_+29_08_1008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,1,4,-29.96,1008,0.23199999999999998,0.68359375,5.68,dlc11_4_ipcpi_a4_-29_08_1008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,1,4,29.96,1008,0.23199999999999998,0.68359375,5.68,dlc11_4_ipcpi_a4_+29_08_1008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,2,1,-29.96,2008,0.23199999999999998,0.68359375,1.42,dlc11_4_ipcpi_a1_-29_08_2008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,2,1,29.96,2008,0.23199999999999998,0.68359375,1.42,dlc11_4_ipcpi_a1_+29_08_2008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,2,2,-29.96,2008,0.23199999999999998,0.68359375,2.84,dlc11_4_ipcpi_a2_-29_08_2008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,2,2,29.96,2008,0.23199999999999998,0.68359375,2.84,dlc11_4_ipcpi_a2_+29_08_2008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,2,3,-29.96,2008,0.23199999999999998,0.68359375,4.26,dlc11_4_ipcpi_a3_-29_08_2008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,2,3,29.96,2008,0.23199999999999998,0.68359375,4.26,dlc11_4_ipcpi_a3_+29_08_2008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,2,4,-29.96,2008,0.23199999999999998,0.68359375,5.68,dlc11_4_ipcpi_a4_-29_08_2008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,2,4,29.96,2008,0.23199999999999998,0.68359375,5.68,dlc11_4_ipcpi_a4_+29_08_2008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,3,1,-29.96,3008,0.23199999999999998,0.68359375,1.42,dlc11_4_ipcpi_a1_-29_08_3008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,3,1,29.96,3008,0.23199999999999998,0.68359375,1.42,dlc11_4_ipcpi_a1_+29_08_3008
