Tstart,Tstop,Nx,logfolder,resfolder,yaw,Kp,wsp,controller,_seed,seed,Tint,dx,filename
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,16,ipc07,3,3016,0.17600000000000002,1.3671875,dlc15_1_ipc07_16_3016
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,18,ipc04,1,1018,0.1697777777777778,1.5380859375,dlc15_1_ipc04_18_1018
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,18,ipc04,2,2018,0.1697777777777778,1.5380859375,dlc15_1_ipc04_18_2018
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,18,ipc04,3,3018,0.1697777777777778,1.5380859375,dlc15_1_ipc04_18_3018
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,18,ipc07,1,1018,0.1697777777777778,1.5380859375,dlc15_1_ipc07_18_1018
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,18,ipc07,2,2018,0.1697777777777778,1.5380859375,dlc15_1_ipc07_18_2018
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,18,ipc07,3,3018,0.1697777777777778,1.5380859375,dlc15_1_ipc07_18_3018
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,20,ipc04,1,1020,0.1648,1.708984375,dlc15_1_ipc04_20_1020
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,20,ipc04,2,2020,0.1648,1.708984375,dlc15_1_ipc04_20_2020
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,20,ipc04,3,3020,0.1648,1.708984375,dlc15_1_ipc04_20_3020
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,20,ipc07,1,1020,0.1648,1.708984375,dlc15_1_ipc07_20_1020
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,20,ipc07,2,2020,0.1648,1.708984375,dlc15_1_ipc07_20_2020
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,20,ipc07,3,3020,0.1648,1.708984375,dlc15_1_ipc07_20_3020
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,22,ipc04,1,1022,0.16072727272727275,1.8798828125,dlc15_1_ipc04_22_1022
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,22,ipc04,2,2022,0.16072727272727275,1.8798828125,dlc15_1_ipc04_22_2022
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,22,ipc04,3,3022,0.16072727272727275,1.8798828125,dlc15_1_ipc04_22_3022
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,22,ipc07,1,1022,0.16072727272727275,1.8798828125,dlc15_1_ipc07_22_1022
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,22,ipc07,2,2022,0.16072727272727275,1.8798828125,dlc15_1_ipc07_22_2022
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,22,ipc07,3,3022,0.16072727272727275,1.8798828125,dlc15_1_ipc07_22_3022
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,24,ipc04,1,1024,0.15733333333333335,2.05078125,dlc15_1_ipc04_24_1024
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,24,ipc04,2,2024,0.15733333333333335,2.05078125,dlc15_1_ipc04_24_2024
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,24,ipc04,3,3024,0.15733333333333335,2.05078125,dlc15_1_ipc04_24_3024
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,24,ipc07,1,1024,0.15733333333333335,2.05078125,dlc15_1_ipc07_24_1024
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,24,ipc07,2,2024,0.15733333333333335,2.05078125,dlc15_1_ipc07_24_2024
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,24,ipc07,3,3024,0.15733333333333335,2.05078125,dlc15_1_ipc07_24_3024
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,26,ipc04,1,1026,0.15446153846153846,2.2216796875,dlc15_1_ipc04_26_1026
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,26,ipc04,2,2026,0.15446153846153846,2.2216796875,dlc15_1_ipc04_26_2026
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,26,ipc04,3,3026,0.15446153846153846,2.2216796875,dlc15_1_ipc04_26_3026
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,26,ipc07,1,1026,0.15446153846153846,2.2216796875,dlc15_1_ipc07_26_1026
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,26,ipc07,2,2026,0.15446153846153846,2.2216796875,dlc15_1_ipc07_26_2026
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,26,ipc07,3,3026,0.15446153846153846,2.2216796875,dlc15_1_ipc07_26_3026
