Tstart,Tstop,Nx,logfolder,resfolder,controller,yaw,Kp,wsp,_seed,seed,Tint,dx,filename
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,4,1,1004,0.344,0.341796875,dlc15_0_noipc_04_1004
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,4,2,2004,0.344,0.341796875,dlc15_0_noipc_04_2004
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,4,3,3004,0.344,0.341796875,dlc15_0_noipc_04_3004
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,6,1,1006,0.2693333333333333,0.5126953125,dlc15_0_noipc_06_1006
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,6,2,2006,0.2693333333333333,0.5126953125,dlc15_0_noipc_06_2006
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,6,3,3006,0.2693333333333333,0.5126953125,dlc15_0_noipc_06_3006
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,8,1,1008,0.23199999999999998,0.68359375,dlc15_0_noipc_08_1008
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,8,2,2008,0.23199999999999998,0.68359375,dlc15_0_noipc_08_2008
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,8,3,3008,0.23199999999999998,0.68359375,dlc15_0_noipc_08_3008
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,10,1,1010,0.2096,0.8544921875,dlc15_0_noipc_10_1010
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,10,2,2010,0.2096,0.8544921875,dlc15_0_noipc_10_2010
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,10,3,3010,0.2096,0.8544921875,dlc15_0_noipc_10_3010
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,12,1,1012,0.19466666666666665,1.025390625,dlc15_0_noipc_12_1012
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,12,2,2012,0.19466666666666665,1.025390625,dlc15_0_noipc_12_2012
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,12,3,3012,0.19466666666666665,1.025390625,dlc15_0_noipc_12_3012
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,14,1,1014,0.184,1.1962890625,dlc15_0_noipc_14_1014
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,14,2,2014,0.184,1.1962890625,dlc15_0_noipc_14_2014
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,14,3,3014,0.184,1.1962890625,dlc15_0_noipc_14_3014
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,16,1,1016,0.17600000000000002,1.3671875,dlc15_0_noipc_16_1016
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,16,2,2016,0.17600000000000002,1.3671875,dlc15_0_noipc_16_2016
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,16,3,3016,0.17600000000000002,1.3671875,dlc15_0_noipc_16_3016
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,18,1,1018,0.1697777777777778,1.5380859375,dlc15_0_noipc_18_1018
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,18,2,2018,0.1697777777777778,1.5380859375,dlc15_0_noipc_18_2018
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,18,3,3018,0.1697777777777778,1.5380859375,dlc15_0_noipc_18_3018
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,20,1,1020,0.1648,1.708984375,dlc15_0_noipc_20_1020
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,20,2,2020,0.1648,1.708984375,dlc15_0_noipc_20_2020
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,20,3,3020,0.1648,1.708984375,dlc15_0_noipc_20_3020
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,22,1,1022,0.16072727272727275,1.8798828125,dlc15_0_noipc_22_1022
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,22,2,2022,0.16072727272727275,1.8798828125,dlc15_0_noipc_22_2022
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,22,3,3022,0.16072727272727275,1.8798828125,dlc15_0_noipc_22_3022
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,24,1,1024,0.15733333333333335,2.05078125,dlc15_0_noipc_24_1024
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,24,2,2024,0.15733333333333335,2.05078125,dlc15_0_noipc_24_2024
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,24,3,3024,0.15733333333333335,2.05078125,dlc15_0_noipc_24_3024
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,26,1,1026,0.15446153846153846,2.2216796875,dlc15_0_noipc_26_1026
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,26,2,2026,0.15446153846153846,2.2216796875,dlc15_0_noipc_26_2026
100,700,8192,./log/dlc15_0/,./res/dlc15_0/,noipc,0,0,26,3,3026,0.15446153846153846,2.2216796875,dlc15_0_noipc_26_3026
